可可西里,2004,8.9,284070人评价
城市之光,1931,9.3,134492人评价
东京教父,2003,9.0,201172人评价
源代码,2011,8.5,790322人评价
萤火虫之墓,1988,8.7,387960人评价
初恋这件小事,2010,8.5,938953人评价
虎口脱险,1966,8.9,238204人评价
人工智能,2001,8.7,417750人评价
海边的曼彻斯特,2016,8.6,480386人评价
心灵奇旅,2020,8.7,900453人评价
罗生门,1950,8.8,294152人评价
青蛇,1993,8.6,491836人评价
波西米亚狂想曲,2018,8.6,563389人评价
终结者2：审判日,1991,8.8,321240人评价
疯狂的麦克斯4：狂暴之路,2015,8.7,494575人评价
新龙门客栈,1992,8.7,415997人评价
奇迹男孩,2017,8.6,526368人评价
二十二,2015,8.7,279535人评价
无耻混蛋,2009,8.6,445198人评价
房间,2015,8.8,353731人评价
千钧一发,1997,8.8,271555人评价
血钻,2006,8.7,356589人评价
人工智能,2001,8.7,417750人评价
海边的曼彻斯特,2016,8.6,480386人评价
心灵奇旅,2020,8.7,900453人评价
罗生门,1950,8.8,294152人评价
青蛇,1993,8.6,491836人评价
波西米亚狂想曲,2018,8.6,563389人评价
终结者2：审判日,1991,8.8,321240人评价
疯狂的麦克斯4：狂暴之路,2015,8.7,494575人评价
新龙门客栈,1992,8.7,415997人评价
奇迹男孩,2017,8.6,526368人评价
二十二,2015,8.7,279535人评价
无耻混蛋,2009,8.6,445198人评价
房间,2015,8.8,353731人评价
千钧一发,1997,8.8,271555人评价
血钻,2006,8.7,356589人评价
崖上的波妞,2008,8.6,454429人评价
彗星来的那一夜,2013,8.5,529891人评价
黑客帝国2：重装上阵,2003,8.7,382635人评价
步履不停,2008,8.8,261228人评价
魂断蓝桥,1940,8.8,261128人评价
战争之王,2005,8.7,343483人评价
爱乐之城,2016,8.4,825245人评价
末路狂花,1991,8.9,224579人评价
谍影重重2,2004,8.7,331698人评价
燃情岁月,1994,8.8,271609人评价
二十二,2015,8.7,279535人评价
无耻混蛋,2009,8.6,445198人评价
房间,2015,8.8,353731人评价
千钧一发,1997,8.8,271555人评价
血钻,2006,8.7,356589人评价
崖上的波妞,2008,8.6,454429人评价
彗星来的那一夜,2013,8.5,529891人评价
黑客帝国2：重装上阵,2003,8.7,382635人评价
步履不停,2008,8.8,261228人评价
魂断蓝桥,1940,8.8,261128人评价
战争之王,2005,8.7,343483人评价
爱乐之城,2016,8.4,825245人评价
末路狂花,1991,8.9,224579人评价
谍影重重2,2004,8.7,331698人评价
燃情岁月,1994,8.8,271609人评价
火星救援,2015,8.5,674946人评价
千年女优,2001,8.8,241605人评价
阿飞正传,1990,8.5,476810人评价
再次出发之纽约遇见你,2013,8.6,404246人评价
谍影重重,2002,8.6,399381人评价
花束般的恋爱,2021,8.6,508004人评价
朗读者,2008,8.6,435233人评价
海洋,2009,9.1,151789人评价
香水,2006,8.5,518842人评价
穿越时空的少女,2006,8.6,362646人评价
战争之王,2005,8.7,343483人评价
爱乐之城,2016,8.4,825245人评价
末路狂花,1991,8.9,224579人评价
谍影重重2,2004,8.7,331698人评价
燃情岁月,1994,8.8,271609人评价
火星救援,2015,8.5,674946人评价
千年女优,2001,8.8,241605人评价
阿飞正传,1990,8.5,476810人评价
再次出发之纽约遇见你,2013,8.6,404246人评价
谍影重重,2002,8.6,399381人评价
花束般的恋爱,2021,8.6,508004人评价
朗读者,2008,8.6,435233人评价
海洋,2009,9.1,151789人评价
香水,2006,8.5,518842人评价
穿越时空的少女,2006,8.6,362646人评价
地球上的星星,2007,8.9,193805人评价
我爱你,2011,9.0,156450人评价
弱点,2009,8.7,276627人评价
哈利·波特与死亡圣器(上),2010,8.5,518993人评价
完美陌生人,2016,8.5,499404人评价
花束般的恋爱,2021,8.6,508004人评价
朗读者,2008,8.6,435233人评价
海洋,2009,9.1,151789人评价
香水,2006,8.5,518842人评价
穿越时空的少女,2006,8.6,362646人评价
地球上的星星,2007,8.9,193805人评价
我爱你,2011,9.0,156450人评价
弱点,2009,8.7,276627人评价
哈利·波特与死亡圣器(上),2010,8.5,518993人评价
完美陌生人,2016,8.5,499404人评价
肖申克的救赎,1994,9.7,2712292人评价
霸王别姬,1993,9.6,2010474人评价
阿甘正传,1994,9.5,2035434人评价
泰坦尼克号,1997,9.4,1994877人评价
这个杀手不太冷,1994,9.4,2177558人评价
美丽人生,1997,9.6,1249595人评价
千与千寻,2001,9.4,2111473人评价
辛德勒的名单,1993,9.6,1042733人评价
盗梦空间,2010,9.4,1946926人评价
星际穿越,2014,9.4,1662280人评价
忠犬八公的故事,2009,9.4,1327753人评价
楚门的世界,1998,9.3,1571679人评价
海上钢琴师,1998,9.3,1586001人评价
三傻大闹宝莱坞,2009,9.2,1762478人评价
机器人总动员,2008,9.3,1246070人评价
放牛班的春天,2004,9.3,1228834人评价
无间道,2002,9.3,1265552人评价
疯狂动物城,2016,9.2,1793668人评价
大话西游之大圣娶亲,1995,9.2,1447088人评价
控方证人,1957,9.6,495243人评价
熔炉,2011,9.3,880874人评价
教父,1972,9.3,903085人评价
当幸福来敲门,2006,9.2,1436804人评价
触不可及,2011,9.3,1024471人评价
怦然心动,2010,9.1,1727118人评价
忠犬八公的故事,2009,9.4,1327753人评价
楚门的世界,1998,9.3,1571679人评价
海上钢琴师,1998,9.3,1586001人评价
三傻大闹宝莱坞,2009,9.2,1762478人评价
机器人总动员,2008,9.3,1246070人评价
放牛班的春天,2004,9.3,1228834人评价
无间道,2002,9.3,1265552人评价
疯狂动物城,2016,9.2,1793668人评价
大话西游之大圣娶亲,1995,9.2,1447088人评价
控方证人,1957,9.6,495243人评价
熔炉,2011,9.3,880874人评价
教父,1972,9.3,903085人评价
当幸福来敲门,2006,9.2,1436804人评价
触不可及,2011,9.3,1024471人评价
怦然心动,2010,9.1,1727118人评价
龙猫,1988,9.2,1193102人评价
末代皇帝,1987,9.3,813629人评价
寻梦环游记,2017,9.1,1550897人评价
蝙蝠侠：黑暗骑士,2008,9.2,996130人评价
活着,1994,9.3,783845人评价
哈利·波特与魔法石,2001,9.2,1095465人评价
指环王3：王者无敌,2003,9.3,754728人评价
乱世佳人,1939,9.3,649499人评价
素媛,2013,9.3,642609人评价
飞屋环游记,2009,9.1,1248550人评价
熔炉,2011,9.3,880874人评价
教父,1972,9.3,903085人评价
当幸福来敲门,2006,9.2,1436804人评价
触不可及,2011,9.3,1024471人评价
怦然心动,2010,9.1,1727118人评价
龙猫,1988,9.2,1193102人评价
末代皇帝,1987,9.3,813629人评价
寻梦环游记,2017,9.1,1550897人评价
蝙蝠侠：黑暗骑士,2008,9.2,996130人评价
活着,1994,9.3,783845人评价
